"price";"subregion";"key";"value"
"98.16";"98.16";"Abandoned Farmland Restoration";12.48
"98.16";4.65;"Biogas for Cooking";49.04
"98.16";"Buildings";"Improved Clean Cookstoves";31.34
"0";"Ocean Sinks";"Coastal Wetland Restoration";0.77
"1770";"1770";"LED Lighting";16.07
"98.16";"Electricity";"Water Distribution Efficiency";0.66;24.19
"566.38";"Electricity";"Concentrated Solar Power";18.60
"479.59";"Electricity";"Distributed Solar Photovoltaics";27.98
"290";"Electricity";"Utility-Scale Solar Photovoltaics";42.32
"69.64";"Electricity";"Micro Wind Turbines";0.09
"1660";"Electricity";"Onshore Wind Turbines";47.21
"720.77";"Electricity";"Offshore Wind Turbines";10.44
"86.45";"Electricity";"Geothermal Power";6.19
"80.07";"Electricity";"Small Hydropower";1.69
"259.99";"Electricity";"Ocean Power";1.38
"62.37";"Electricity";"Biomass Power";2.52
"192.3";"Electricity";"Nuclear Power";2.65
"171.84";"Buildings";"Smart Thermostats";6.99
"294.64";"Buildings";"Building Automation Systems";6.47
"831.28";"Buildings";"Insulation";16.97
";103.3";"Buildings";"Dynamic Glass";0.29
"1077";"Buildings";"High-Performance Glass";10.04
"954.72";"Buildings";"Green and Cool Roofs";0.60
"328.72 ";"Buildings";"District Heating";6.28
"116.82 ";"Buildings";"High-Efficiency Heat Pumps";4.16
"2670";"Buildings";"Solar Hot Water";3.59
"2.37";"Buildings";"Low-Flow Fixtures";0.91
"149.92";"Industry";"Waste-to-Energy";2.04
"4.31";"Industry";"Landfill Methane Capture";2.18
"284.78";"Industry";"Methane Digesters";9.83
"383.3";"Engineered Sinks";"Biochar Production";2.22
"0";"Food & Agriculture";"Nutrient Management";2.34
"386.92";"Food & Agriculture";"Farm Irrigation Efficiency";1.13
"0";"Food & Agriculture";"Coastal Wetland Protection";0.99
"0";"Food & Agriculture";"Plant-Rich Diets";65.01
"0";"Food & Agriculture";"Reduced Food Waste";87.45
"0";"Food & Agriculture";"Forest Protection";5.52
"0";"Food & Agriculture";"Indigenous Peoplesâ€™ Forest Tenure";8.69
"0";"Food & Agriculture";"Grassland Protection";3.35
"0";"Food & Agriculture";"Peatland Protection and Rewetting";1.36
"0";"Food & Agriculture";"Sustainable Intensification for Smallholders";1.36
"91.88";"Food & Agriculture";"Conservation Agriculture";13.40
"115.82";"Food & Agriculture";"Regenerative Annual Cropping";14.52
"623.44";"Food & Agriculture";"Improved Rice Production";9.44
"0";"Food & Agriculture";"System of Rice Intensification";2.78
"0";"Health and Education";"Health and Education";85.42
"63.46";"Industry";"Alternative Cement";7.98
"60.6";"Industry";"Composting";2.14
"0";"Industry";"Bioplastics";0.96
"11.83";"Industry";"Recycling";5.50
"900.01 ";"Industry";"Recycled Paper";1.10
"629.25";"Industry";"Refrigerant Management";57.75
"629.25";"Industry";"Alternative Refrigerants";43.53
"0";"Land Sinks";"Temperate Forest Restoration";19.42
"0";"Land Sinks";"Tropical Forest Restoration";54.45
"52.89";"Land Sinks";"Managed Grazing";16.42
"272.91";"Land Sinks";"Silvopasture";26.58
"92.12";"Land Sinks";"Multistrata Agroforestry";11.30
"227.02";"Land Sinks";"Tree Intercropping";15.03
"190.25";"Land Sinks";"Perennial Staple Crops";15.45
"399.92";"Land Sinks";"Perennial Biomass Production";4.00
"159.91";"Land Sinks";"Abandoned Farmland Restoration";12.48
"72.09";"Land Sinks";"Tree Plantations (on Degraded Land)";22.24
"0";"Transportation";"Walkable Cities";1.44
"2660";"Transportation";"Bicycle Infrastructure";2.56
"380";"Transportation";"Electric Bicycles";1.31
"0";"Transportation";"Carpooling";7.70
"6590";"Transportation";"Public Transit";7.51
"1220";"Transportation";"High-Speed Rail";1.30
"301.11";"Transportation";"Telepresence";1.05
"3410";"Transportation";"Hybrid Cars";7.89
"796.94";"Transportation";"Efficient Trucks";4.61
"2890";"Transportation";"Electric Trains";0.10
"5790";"Transportation";"Electric Cars";11.87
"733";"Transportation";"Efficient Ocean Shipping";4.40
"850.91";"Transportation";"Efficient Aviation";6.27